NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Study Type,URL
NCT04681261,"Occupational Balance, Fear and Agoraphobia",OB,Completed,No Results Available,Covid19,Other: this study is not an intervention study,All,"19 Years to 65 Years   (Adult, Older Adult)",,699,Observational,https://ClinicalTrials.gov/show/NCT04681261
NCT04542226,Observational Open Study of Polyoxidonium in Hospitalized Patients With COVID-19,,Completed,Has Results,"Infections, Coronavirus",Drug: Polyoxidonium,All,"18 Years and older   (Adult, Older Adult)",,81,Observational,https://ClinicalTrials.gov/show/NCT04542226
NCT04573361,Access to Chiropractic Care During the COVID-19 Healthcare Emergency in Spain,,Completed,No Results Available,Musculoskeletal Pain|Disability Physical|Psychological Distress,Other: Chiropractic care (one visit)|Other: Chiropractic care (more than one visit),All,"14 Years and older   (Child, Adult, Older Adult)",Not Applicable,723,Interventional,https://ClinicalTrials.gov/show/NCT04573361
NCT04533048,A Clinical Study to Evaluate MW33 Injection,,Completed,No Results Available,Covid19,Combination Product: MW33 injection|Combination Product: MW33 injection placebo,All,18 Years to 45 Years   (Adult),Phase 1,42,Interventional,https://ClinicalTrials.gov/show/NCT04533048
NCT04501172,Impact of Spectacles on Compliance to Mask-wearing Directives,,Completed,No Results Available,Covid19,Behavioral: Questionnaire completion,All,"18 Years to 85 Years   (Adult, Older Adult)",,1214,Observational,https://ClinicalTrials.gov/show/NCT04501172
NCT04497519,Local Tolerability and Pharmacokinetic Evaluation of Cyclops Dry Powder Hydroxychloroquine Inhalation in Healthy Volunteers,,Completed,No Results Available,Covid19,Drug: inhaled hydroxychloroquine,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,12,Interventional,https://ClinicalTrials.gov/show/NCT04497519
NCT04490239,Intranasal Heparin Tolerability Study,,Completed,Has Results,Covid19,Drug: Intranasal heparin sodium (porcine),All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,6,Interventional,https://ClinicalTrials.gov/show/NCT04490239
NCT04325906,Early PP With HFNC Versus HFNC in COVID-19 Induced Moderate to Severe ARDS,,Completed,No Results Available,Prone Positioning|High Flow Nasal Cannula|Acute Respiratory Distress Syndrome|Corona Virus Infection,Device: high flow nasal cannula (HFNC)|Procedure: Prone positioning (PP),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,222,Interventional,https://ClinicalTrials.gov/show/NCT04325906
NCT04548934,Effect of Wearing Personal Protective Equipment (PPE) on CPR Quality in Times of the COVID-19-pandemic,,Completed,No Results Available,Cardiopulmonary Resuscitation|Personal Protective Equipment,Device: Personal protective equipment (PPE)|Device: No Personal protective equipment (PPE),All,18 Years to 60 Years   (Adult),Not Applicable,34,Interventional,https://ClinicalTrials.gov/show/NCT04548934
NCT04344964,Endoscopy-related Phone Consultation During the COVID-19 Outbreak,,Completed,No Results Available,"Colon Polyp|Colon Disease|Reflux, Gastroesophageal|Varices, Esophageal",Other: None - NA,All,"18 Years and older   (Adult, Older Adult)",,186,Observational,https://ClinicalTrials.gov/show/NCT04344964
NCT04448769,Epidemiological Study of Seroprevalence Against the SARS-CoV-2 Virus (COVID-19),COVAL-NANCY,Completed,No Results Available,Coronavirus Infection|Prevalence,Biological: Anti-SARS-CoV-2 IgT seropositivity,All,"5 Years and older   (Child, Adult, Older Adult)",Not Applicable,2006,Interventional,https://ClinicalTrials.gov/show/NCT04448769
NCT04738032,Stories for Change: Digital Storytelling Intervention for Diabetes Self-Management in the COVID-19 Pandemic,S4C - COVID-19,Completed,No Results Available,Type2 Diabetes,Other: Digital Storytelling Intervention,All,"18 Years to 70 Years   (Adult, Older Adult)",,76,Observational,https://ClinicalTrials.gov/show/NCT04738032
NCT04391166,Validity of at Home Visual Acuity Measurements for Telemedicine During Corona Virus (COVID-19) Pandemic,,Completed,No Results Available,Visual Impairment,Other: Non invasive visual acuity testing,All,"18 Years to 90 Years   (Adult, Older Adult)",,108,Observational,https://ClinicalTrials.gov/show/NCT04391166
NCT04505761,"The Usability, Feasibility, and Tolerability of Virtual Reality for Rehabilitation From COVID-19",COVRehab,Completed,No Results Available,Coronavirus|Post Intensive Care Unit Syndrome,Device: Virtual Reality,All,"16 Years and older   (Child, Adult, Older Adult)",Not Applicable,48,Interventional,https://ClinicalTrials.gov/show/NCT04505761
NCT04665960,Infection Control for Severe Acute Respiratory Syndrome Coronavirus 2,IC-COVID-19,Completed,No Results Available,Covid19|SARS-CoV Infection|SARS Pneumonia|Coronavirus Infection|Infection,,All,"25 Years to 70 Years   (Adult, Older Adult)",,35,Observational,https://ClinicalTrials.gov/show/NCT04665960
NCT04662437,The Status of Parathyroid Hormone Secretion in Covid-19 Patients,,Completed,No Results Available,COVID-19 Infection|Parathyroid Gland|Parathyroid Hormone|Calcium|Phosphorus|Alkaline Phosphatase,Diagnostic Test: Venous blood was collected for biochemistry testing,All,"18 Years to 100 Years   (Adult, Older Adult)",,150,Observational,https://ClinicalTrials.gov/show/NCT04662437
NCT04818164,Prone Position Improves End-Expiratory Lung Volumes in COVID-19 Acute Respiratory Distress Syndrome,,Completed,No Results Available,Acute Respiratory Distress Syndrome|Coronavirus|Mechanical Ventilation Complication|Ventilation Perfusion Mismatch,,All,"18 Years and older   (Adult, Older Adult)",,22,Observational,https://ClinicalTrials.gov/show/NCT04818164
NCT04550390,Study of the Analytical Performance of Different Salivary Self-collection Methods for the Detection of COVID-19,SAMILCOV,Completed,No Results Available,SARS-CoV Infection,Diagnostic Test: Saliva collection,All,"18 Years and older   (Adult, Older Adult)",,329,Observational,https://ClinicalTrials.gov/show/NCT04550390
NCT04327388,Sarilumab COVID-19,,Completed,Has Results,Corona Virus Infection,Drug: Sarilumab SAR153191|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,420,Interventional,https://ClinicalTrials.gov/show/NCT04327388
NCT04321369,Impact of Swab Site and Sample Collector on Testing Sensitivity for COVID-19 Virus in Symptomatic Individuals,,Completed,No Results Available,"Infections, Respiratory|Fever|Cough",Diagnostic Test: Testing Sensitivity for SARS-CoV-2 Virus in Symptomatic Individuals,All,"Child, Adult, Older Adult",,533,Observational,https://ClinicalTrials.gov/show/NCT04321369
NCT04677270,Evaluation of Two Versions of a Digital Problem Solving Tool for the General Public Specific for the COVID-19 Pandemic,COVIDPROBLEM,Completed,No Results Available,Problem Solving,Behavioral: Digital problem solving tool,All,"16 Years and older   (Child, Adult, Older Adult)",Not Applicable,397,Interventional,https://ClinicalTrials.gov/show/NCT04677270
NCT04388579,Screening Patients for a Strategic Shift to Pulmonary Telerehabilitation Because of COVID-19,PRAISE@COVID,Completed,No Results Available,Respiratory Disease,Other: Pulmonary Rehabilitation,All,"18 Years to 88 Years   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04388579
NCT04441424,Convalescent Plasma Therapy on Critically-ill Novel Coronavirus (COVID-19) Patients,,Completed,No Results Available,IMMUNOTHERAPY,Biological: Convalescent plasma|Drug: Hydroxychloroquin with Azithromycin,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,49,Interventional,https://ClinicalTrials.gov/show/NCT04441424
NCT04389333,Feasibility of Non-contact Magnetically-controlled Capsule Endoscopy During COVID-19 Pandemic,,Completed,No Results Available,Gastrointestinal Disease|Infectious Disease|Capsule Endoscopy,Device: non-contact magnetically-controlled capsule endoscopy,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,40,Interventional,https://ClinicalTrials.gov/show/NCT04389333
NCT04394013,A Web-Based Gentle Body Stretching to Alleviate Loneliness and Improve Mental Fitness During COVID-19 Isolation Period,,Completed,No Results Available,Mental Health Issue,Behavioral: Mindfulness intervention|Behavioral: Non-Mindfulness intervention,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,70,Interventional,https://ClinicalTrials.gov/show/NCT04394013
NCT04448782,Characterization of Reverse Triggering and Other Asynchronies in COVID-19 Patients Under Invasive Mechanical Ventilation,,Completed,No Results Available,Mechanical Ventilation Complication,Diagnostic Test: Asynchronies detection,All,"18 Years and older   (Adult, Older Adult)",,32,Observational,https://ClinicalTrials.gov/show/NCT04448782
NCT04380766,Covid-19 Pandemic and Pancreatic Surgery in Italy,PanCOVID,Completed,No Results Available,Pancreatic Cancer,Procedure: Evaluation of changes in the diagnostic-therapeutic pathway for patients affected by pancreatic cancer,All,"18 Years and older   (Adult, Older Adult)",,730,Observational,https://ClinicalTrials.gov/show/NCT04380766
NCT04633941,Impact of Social Distancing on Bariatric Versus Non-Surgical Obese Patients During COVID-19 Pandemic,,Completed,No Results Available,"Diabetes Mellitus, Type 2|Obesity, Morbid|Bariatric Surgery Candidate",Other: Standard Care,All,"18 Years to 65 Years   (Adult, Older Adult)",,272,Observational,https://ClinicalTrials.gov/show/NCT04633941
NCT04460196,Healthcare Renunciation During the Confinement Period in Connection With the COVID-19 Epidemic in Adult Emergency Departments,,Completed,No Results Available,Emergency Medicine,Other: survey,All,"18 Years and older   (Adult, Older Adult)",,900,Observational,https://ClinicalTrials.gov/show/NCT04460196
NCT04469621,A Phase 1b Trial to Evaluate Safety and Effect of SAR443122 on Immune System in Severe COVID-19,,Completed,No Results Available,Corona Virus Infection,Drug: SAR443122|Drug: Placebo,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,68,Interventional,https://ClinicalTrials.gov/show/NCT04469621
NCT04488796,STAND UP to SARS-CoV-2 (COVID-19): Using Behavioural Economics to Reduce Sedentary Behaviour in At-home Office Workers,,Completed,No Results Available,Health Behaviour Change,Behavioral: Assigned Strategies: Opt-in|Behavioral: Assigned Strategies: Active Choice|Behavioral: Assigned Strategies: Enhanced Active Choice|Behavioral: Choice of Assignment: Opt-in|Behavioral: Choice of Assignment: Active Choice|Behavioral: Choice of Assignment: Enhanced Active Choice,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,148,Interventional,https://ClinicalTrials.gov/show/NCT04488796
NCT04365335,Stress Biomarkers Leading to Professional Burnout Among People Involved in a Mobile Intensive Care Unit During the COVID-19 Pandemic,AUTONOMIC,Completed,No Results Available,Occupational Stress,Behavioral: Assessment of work-related stress|Biological: Saliva sample collection|Other: Cardiac and electrodermal recordings|Behavioral: Assessment of behavioral response to emotional stimulation,All,18 Years to 60 Years   (Adult),,50,Observational,https://ClinicalTrials.gov/show/NCT04365335
NCT04548544,A Randomized Controlled Feasibility Study of Emotional Well-being of Adolescents Undergoing a Mindfulness Training During COVID-19,,Completed,No Results Available,Healthy,"Behavioral: Training for Awareness, Resilience, and Action (TARA)",All,"14 Years to 18 Years   (Child, Adult)",Not Applicable,21,Interventional,https://ClinicalTrials.gov/show/NCT04548544
NCT04321278,Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),,Completed,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Interventional,https://ClinicalTrials.gov/show/NCT04321278
NCT04337918,Nitric Oxide Releasing Solutions to Prevent and Treat Mild/Moderate COVID-19 Infection,NOCOVID,Completed,No Results Available,Corona Virus Infection,Drug: NORS (Nitric Oxide Releasing Solution),All,"19 Years and older   (Adult, Older Adult)",Phase 2,143,Interventional,https://ClinicalTrials.gov/show/NCT04337918
NCT04564040,A Study in Healthy Subjects to Assess Bioavailability (Proportion of a Drug Which Enters the Circulation to Have an Active Effect) of Acalabrutinib Tablet and Protonpump Inhibitor Effect (Members of a Class of Medications That Inhibits in Gastric Acid Production) for Rabeprazole,,Completed,No Results Available,Mantle Cell Lymphoma|COVID-19,Drug: Acalabrutinib Treatment A|Drug: Acalabrutinib Treatment B|Drug: Acalabrutinib Treatment C|Drug: Acalabrutinib Treatment D,All,18 Years to 55 Years   (Adult),Phase 1,20,Interventional,https://ClinicalTrials.gov/show/NCT04564040
NCT04818697,"Effect of Social Isolation on Physical Activity Level, and Kinesophobia in Heart Rhythm Disorders During Pandemic",,Completed,No Results Available,Heart Rhythm Disorder|Covid19|Social Isolation,,All,"18 Years and older   (Adult, Older Adult)",,105,Observational,https://ClinicalTrials.gov/show/NCT04818697
NCT04346693,An Open Randomized Study of Dalargin Effectiveness in Patients With Severe and Critical Manifestations of SARS-COVID-19,,Completed,No Results Available,Acute Respiratory Tract Infection|Acute Respiratory Insufficiency|Pneumonia|Septic Shock|Hypoxemia,Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation.|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin intramuscular injection|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin inhalation|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin intramuscular injection combined with Dalargin inhalation,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,320,Interventional,https://ClinicalTrials.gov/show/NCT04346693
NCT04322396,Proactive Protection With Azithromycin and hydroxyChloroquine in Hospitalized Patients With COVID-19,ProPAC-COVID,Completed,No Results Available,Virus Diseases|Infection Viral|Corona Virus Infection,Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Placebo oral tablet,All,"Child, Adult, Older Adult",Phase 2,117,Interventional,https://ClinicalTrials.gov/show/NCT04322396
NCT04849546,Staff Physical and Mental Health Assessment in the Aftermath of the First Peak of the Covid-19 Outbreak,SAMAF,Completed,No Results Available,Occupational Stress,,All,"18 Years to 70 Years   (Adult, Older Adult)",,1491,Observational,https://ClinicalTrials.gov/show/NCT04849546
NCT04344041,COvid-19 and Vitamin D Supplementation: a Multicenter Randomized Controlled Trial of High Dose Versus Standard Dose Vitamin D3 in High-risk COVID-19 Patients (CoVitTrial),,Completed,No Results Available,Coronavirus,"Drug: cholecalciferol 200,000 IU|Drug: cholecalciferol 50,000 IU",All,65 Years and older   (Older Adult),Phase 3,260,Interventional,https://ClinicalTrials.gov/show/NCT04344041
NCT04747132,Effectiveness of a Telegeriatric Intervention in Older Adults During the Covid-19 Contingency,,Completed,No Results Available,Effectiveness,Other: Telegeriatric intervention,All,"60 Years and older   (Adult, Older Adult)",Not Applicable,110,Interventional,https://ClinicalTrials.gov/show/NCT04747132
NCT04459533,Sparing in Neuromuscular Blockade in COVID 19 ICU,TOF-COVID,Completed,No Results Available,Neuromuscular Blockade|Human Characteristics|Complication of Medical Care|Intensive Care Unit Acquired Weakness,Device: TOF protocol,All,"18 Years and older   (Adult, Older Adult)",,250,Observational,https://ClinicalTrials.gov/show/NCT04459533
NCT04542954,Optimized Management of Covid-19 Positive Kidney Transplant Recipients: Single Center Experience From the Middle East,OMC-KTR,Completed,No Results Available,"Covid19|Kidney Transplant Infection|Risk Factor, Cardiovascular|Immunosuppression|Outcome, Fatal|Graft Failure",Other: Optimized Management of Covid-19 Positive Kidney Transplant Recipients: Single Center Experience from the Middle East,,"Child, Adult, Older Adult",,104,Observational,https://ClinicalTrials.gov/show/NCT04542954
NCT04343404,Place of ECMO in the Management of Severe Refractory ARDS Associated With Covid-19,ECMO-COVID-19,Completed,No Results Available,Respiratory Distress Syndrome,,All,"18 Years and older   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04343404
NCT04407663,"Outpatient Clinic in Obesity Care During COVID-19 Outbreak: Physically Far, Virtually Near",,Completed,No Results Available,Bariatric Surgery Candidate|Patient Underwent Bariatric Surgery,Other: Telemedicine to remote outpatient visit in bariatric patient,All,"18 Years and older   (Adult, Older Adult)",,138,Observational,https://ClinicalTrials.gov/show/NCT04407663
NCT04405310,Convalescent Plasma of Covid-19 to Treat SARS-COV-2 a Randomized Doble Blind 2 Center Trial,CPC-SARS,Completed,No Results Available,SARS Pneumonia,Biological: Convalescent Plasma of patients with COVID-19|Other: placebo (hartmann plus albumine),All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,42,Interventional,https://ClinicalTrials.gov/show/NCT04405310
NCT04519385,Toclizumam Versus Dexamethasone in Severe Covid-19 Cases,,Completed,No Results Available,"Pneumonia, Viral",Drug: Tocilizumab|Drug: Dexamethasone,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,69,Interventional,https://ClinicalTrials.gov/show/NCT04519385
NCT04400279,The COVID-19 Pandemic and Exercise Study,COPE,Completed,No Results Available,Depressive Symptomatology|Psychological Distress|Health Behavior,Behavioral: Yoga group|Behavioral: High Intensity Interval Training group|Behavioral: Combination,All,18 Years to 64 Years   (Adult),Not Applicable,334,Interventional,https://ClinicalTrials.gov/show/NCT04400279
NCT04437342,Postpartum Depression in the Covid-19 Pandemic and the Impact of Anaesthesia,,Completed,No Results Available,Postpartum Depression|Psychological Stress|Maternal Distress,Other: PHQ-9 (Patient Health Questionnaire) Depression Scale|Other: GAD-7 (General Anxiety Disorder) scale|Other: 38 questions questionnaire|Other: EPDS (Edinburgh Postnatal Depression Scale),Female,"18 Years and older   (Adult, Older Adult)",,330,Observational,https://ClinicalTrials.gov/show/NCT04437342
NCT04368208,Impact of Giving Birth During the Covid 19 Pandemia on Postnatal Women's Depression,DEPRECOVID,Completed,No Results Available,Postnatal Depression,Other: Assessment of postnatal depression using the the Edinburgh questionnaire between 4 and 6 weeks after delivery,Female,18 Years to 50 Years   (Adult),,501,Observational,https://ClinicalTrials.gov/show/NCT04368208
NCT04368026,SARS-CoV-2 (COVID-19) and Surgery,,Completed,No Results Available,"Surgical Procedure, Unspecified",Other: No intervention (survey study for medical doctors).,All,"25 Years and older   (Adult, Older Adult)",,70,Observational,https://ClinicalTrials.gov/show/NCT04368026
NCT04423315,Thrombosis Risk Assessment and Clinical Presentation of Covid-19 Pneumonia,Covid-19,Completed,No Results Available,Corona Virus Infection|Thromboembolic Disease,,All,"18 Years to 99 Years   (Adult, Older Adult)",,70,Observational,https://ClinicalTrials.gov/show/NCT04423315
NCT04517422,Efficacy of L. Plantarum and P. Acidilactici in Adults With SARS-CoV-2 and COVID-19,,Completed,No Results Available,SARS-CoV Infection,Dietary Supplement: Probiotics|Other: Placebo,All,18 Years to 60 Years   (Adult),Not Applicable,300,Interventional,https://ClinicalTrials.gov/show/NCT04517422
NCT04334434,Telerehabilitation in Individuals Over 65 Years of Age Having Social Isolation Due to Coronavirus (Covid-19),,Completed,No Results Available,Telerehabilitation,Other: Telerehabilitation,All,65 Years and older   (Older Adult),Not Applicable,30,Interventional,https://ClinicalTrials.gov/show/NCT04334434
NCT04430062,Short-term Outcome of Covid-19 Surgical Patients: Case-series of a High-risk Area Community Hospital,,Completed,No Results Available,General Surgery|Disease Outbreaks,Procedure: Surgical procedures performed under general anesthesia,All,"Child, Adult, Older Adult",,14,Observational,https://ClinicalTrials.gov/show/NCT04430062
NCT04402905,"Observational Study in Diagnosed Patients COVID-19, Supported on an Outpatient Basis. (COVID-PSL)",COVID-PSL,Completed,No Results Available,Coronavirus Infection,,All,"18 Years and older   (Adult, Older Adult)",,450,Observational,https://ClinicalTrials.gov/show/NCT04402905
NCT04685681,The Get Outside Study,GO,Completed,No Results Available,Covid19|Risk Reduction|Stress|Sleep,Behavioral: Hiking challenge|Other: Activity list,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,53,Interventional,https://ClinicalTrials.gov/show/NCT04685681
NCT04479280,Evaluation of Coagulopathy in Critically Ill COVID-19 Patients.,,Completed,No Results Available,Coagulation Disorder,"Device: Sonclot Coagulation and platelet function Analyzer SCP1, Sienco, USA",All,"Child, Adult, Older Adult",,70,Observational,https://ClinicalTrials.gov/show/NCT04479280
NCT04276688,"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination for nCoV Treatment",,Completed,No Results Available,Novel Coronavirus Infection,Drug: Lopinavir/ritonavir|Drug: Ribavirin|Drug: Interferon Beta-1B,All,"18 Years and older   (Adult, Older Adult)",Phase 2,127,Interventional,https://ClinicalTrials.gov/show/NCT04276688
NCT04412551,Lung Ultrasound for Assessment of Patients With Moderate to Severe Covid-19,,Completed,No Results Available,Corona Virus Infection|Virus Diseases|Coronaviridae Infections,,All,"18 Years to 80 Years   (Adult, Older Adult)",,72,Observational,https://ClinicalTrials.gov/show/NCT04412551
NCT04345549,Ayurveda Self-Management for Flu Like Symptoms During the Covid-19 Outbreak,,Completed,No Results Available,Flu Like Symptom|Flu Like Illness,Other: Individualised Ayurveda,All,18 Years to 60 Years   (Adult),Not Applicable,18,Interventional,https://ClinicalTrials.gov/show/NCT04345549
NCT04427176,Evaluation of ARFC Masks Equipped With CF5 Filter in the Care Unit to Allow a Wider Distribution of FFP2 Masks (Covid-19).,Masq-Aute,Completed,No Results Available,Nurse,Device: ARFC mask,All,"18 Years and older   (Adult, Older Adult)",,15,Observational,https://ClinicalTrials.gov/show/NCT04427176
NCT04393818,Mobile Phone Based Intervention to Protect Mental Health in Healthcare Workers at Frontline Against COVID19,PsyCovid_App,Completed,No Results Available,Mental Health Disorder|Depression|Posttraumatic Stress Disorder|Burnout|Anxiety Disorders,Behavioral: Intervention App,All,"18 Years and older   (Adult, Older Adult)",Phase 3,560,Interventional,https://ClinicalTrials.gov/show/NCT04393818
NCT04324736,"""COVID-19 and Diabetes Outcomes""",CORONADO,Completed,No Results Available,Coronavirus|Diabetes,Other: no interventional study,All,"Child, Adult, Older Adult",,5309,Observational,https://ClinicalTrials.gov/show/NCT04324736
NCT04435119,Covid-19 and Vitamin D in Nursing-home,COVIT-EHPAD,Completed,No Results Available,Coronavirus,,All,70 Years and older   (Older Adult),,96,Observational,https://ClinicalTrials.gov/show/NCT04435119
NCT04383457,Covid-19 Triage Using Camera-based AI,,Completed,No Results Available,Coronavirus Infections,Device: RIA-device (Remote Investigation and Assessment),All,"18 Years and older   (Adult, Older Adult)",,214,Observational,https://ClinicalTrials.gov/show/NCT04383457
NCT04615741,Finding Wellness in the Pandemic,,Completed,No Results Available,"Mental Health Wellness 1|Addiction|Stress, Psychological|Covid19",Behavioral: Trauma Informed Yoga|Behavioral: Trauma Informed Psychotherapy,Female,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,187,Interventional,https://ClinicalTrials.gov/show/NCT04615741
NCT04354792,Asymptomatic COVID-19 Infection Among Healthcare Workers,,Completed,No Results Available,Immunologic Activity Alteration,Diagnostic Test: Serum SARs COV 2 IGg screening in health care workers,All,25 Years to 60 Years   (Adult),,500,Observational,https://ClinicalTrials.gov/show/NCT04354792
NCT04389320,Antimalarial and Covid 19 in Rheumatoid Arthritis,,Completed,No Results Available,Rheumatoid Arthritis,Drug: Hydroxychloroquine,All,"20 Years to 70 Years   (Adult, Older Adult)",,60,Observational,https://ClinicalTrials.gov/show/NCT04389320
NCT04482205,Covid -19 Pandemic: Economic Burden on Patients Operated for Traumatic Close Fractures,,Completed,No Results Available,Economic Burden,,All,"Child, Adult, Older Adult",,840,Observational,https://ClinicalTrials.gov/show/NCT04482205
NCT04448405,Covid-19 Lockdown and Deviant Sexual Fantasies,,Completed,No Results Available,Deviant Sexual Fantasies,Behavioral: Questionnaire for evaluation of confinement on deviant sexual fantasies,All,"18 Years and older   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04448405
NCT04320953,Non-contact Endoscopy at Covid-19 Outbreak,,Completed,No Results Available,Gastrointestinal Disease|Infectious Disease,Device: Non-contact MCE system,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,5,Interventional,https://ClinicalTrials.gov/show/NCT04320953
NCT04368312,Psychological Impairment Due to Covid-19,,Completed,No Results Available,Psychological Distress|Quality of Life,Other: No intervention,All,"Child, Adult, Older Adult",,100,Observational,https://ClinicalTrials.gov/show/NCT04368312
NCT04412343,The Seniors COvid-19 Pandemic and Exercise Study,SCOPE,Completed,No Results Available,Well-Being (Psychological Flourishing)|Depression|Quality of Life|Loneliness|Physical Activity|Social Identification|Physical Health,Behavioral: Virtual Group Intervention|Behavioral: Personal Exercise Intervention,All,65 Years and older   (Older Adult),Not Applicable,241,Interventional,https://ClinicalTrials.gov/show/NCT04412343
NCT04854408,Evaluation of the Effect of Coronavac Vaccine (Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2 Vaccine) on Healthcare Workers' Menstrual Patterns,,Completed,No Results Available,Covid19|Vaccine Reaction|Coronavirus|Menstrual Problem|Endometrium,Other: healthcare workers with the coronavac vaccine,Female,18 Years to 45 Years   (Adult),,300,Observational,https://ClinicalTrials.gov/show/NCT04854408
NCT04395885,Sexual Function During COVID 19 Pandemic,,Completed,No Results Available,Sexual Dysfunction,Other: Electronic questionnaire,All,18 Years to 40 Years   (Adult),,306,Observational,https://ClinicalTrials.gov/show/NCT04395885
NCT04385212,Outcomes in Hospitalized Older Patients With COVID-19,,Completed,No Results Available,Coronavirus Infection|Sars-CoV2|Elderly Infection|Old Age; Debility,,All,65 Years and older   (Older Adult),,230,Observational,https://ClinicalTrials.gov/show/NCT04385212
NCT04567927,Prevalence and Risk Factors for Venous Thromboembolic Events in Critically Ill Patients With COVID-19,,Completed,No Results Available,SARS Virus,Other: Ultrasonography,All,"18 Years and older   (Adult, Older Adult)",,80,Observational,https://ClinicalTrials.gov/show/NCT04567927
NCT04444557,Effect of COvid-19 on Mental Health in Syrian and Turkish Maintenance HemoDialysis Patients: COST-HD Study,COST-HD,Completed,No Results Available,Depression|Hemodialysis,Other: Beck Depression Inventory (BDI),All,"18 Years and older   (Adult, Older Adult)",,97,Observational,https://ClinicalTrials.gov/show/NCT04444557
NCT04836039,Rehabilitation Experiences of Physiotherapists in Covid-19 Outbreak,,Completed,No Results Available,Physical Therapy,Other: A questionnaire and scales.,All,"22 Years to 65 Years   (Adult, Older Adult)",,400,Observational,https://ClinicalTrials.gov/show/NCT04836039
NCT04354272,Evaluation of Dental Emergency Treatments During COVID19 Crisis,URGDENTCOVID,Completed,No Results Available,Orofacial Pain|Orofacial Edema|Dental Trauma|Oral Infection,Other: Questionnaire,All,"18 Years and older   (Adult, Older Adult)",,503,Observational,https://ClinicalTrials.gov/show/NCT04354272
NCT04351542,Ayurveda for Flu Like Illness During Covid-19 Outbreak,,Completed,No Results Available,Flu Like Illness,Dietary Supplement: Ayurveda|Other: Usual Care,All,18 Years to 60 Years   (Adult),Not Applicable,32,Interventional,https://ClinicalTrials.gov/show/NCT04351542
NCT04433754,The Development of Pancreatic Injury in the Course of Severe Acute Respiratory Syndrome Coronavirus 2 Infection,,Completed,No Results Available,Pancreatitis,Other: biochemical analysis,All,"18 Years and older   (Adult, Older Adult)",,500,Observational,https://ClinicalTrials.gov/show/NCT04433754
NCT04461353,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Orally Inhaled Aerosolized Hydroxychloroquine Sulfate in Healthy Adult Volunteers",,Completed,No Results Available,Severe Acute Respiratory Syndrome Coronavirus 2,Drug: Aerolized Hydroxychloroquine Sulfate|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1,12,Interventional,https://ClinicalTrials.gov/show/NCT04461353
NCT04815135,Effect of Covid-19 Pandemic on Emergency Surgery Practice,,Completed,No Results Available,Emergencies,Other: Observational study,All,"Child, Adult, Older Adult",,344,Observational,https://ClinicalTrials.gov/show/NCT04815135
NCT04425005,Home-based Exercise Training During Covid-19 Pandemic in Post-bariatric,,Completed,No Results Available,Bariatric Surgery|Obesity,Other: Home-based exercise,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,55,Interventional,https://ClinicalTrials.gov/show/NCT04425005
NCT04568005,Evaluation of Lymphedema Patients Status During Covid-19 Pandemic,,Completed,No Results Available,Lymphedema,,All,"18 Years and older   (Adult, Older Adult)",,60,Observational,https://ClinicalTrials.gov/show/NCT04568005
