Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
966,NCT04337918,Nitric Oxide Releasing Solutions to Prevent and Treat Mild/Moderate COVID-19 Infection,NOCOVID,Completed,No Results Available,Corona Virus Infection,Drug: NORS (Nitric Oxide Releasing Solution),Prevention Study: Measure the effect of NORS on the prevention of COVID-19 infection among health care professionals at risk of exposure to COVID-19|Treatment Sub Study: Measure the efficacy of NORS at reducing the progression of COVID- 19|Prevention Study: Measure the effect of NORS on the prevention of progression of COVID- 19|Prevention Study: Measure the tolerability of NORS treatments|Treatment Sub Study: Measure the virucidal effect of NORS Treatments|Treatment Sub Study: Determine effect of NORS on the speed of clinical recovery|Treatment Sub Study: Determine the reduction in clinical symptoms|Treatment & Sub Study: Determine positive sero-conversion for SARS-CoV-2,"Sanotize Research and Development corp.|The Emmes Company, LLC|Keyrus Life Science",All,"19 Years and older Â  (Adult, Older Adult)",Phase 2,143,Industry|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention,COVID-CTP-01,2-Feb-21,8-May-20,270,31-Jan-21,8-Apr-20,,10-Feb-21,"BC Diabetes, Vancouver, British Columbia, Canada|LMC Manna, Pointe-Claire, Quebec, Canada|Diex Recherche QuÃ©bec, QuÃ©bec, Quebec, Canada|Diex Recherche Joliette, Saint-Charles-BorromÃ©e, Quebec, Canada|Diex Recherche Sherbrooke, Sherbrooke, Quebec, Canada",,https://ClinicalTrials.gov/show/NCT04337918
967,NCT04564040,A Study in Healthy Subjects to Assess Bioavailability (Proportion of a Drug Which Enters the Circulation to Have an Active Effect) of Acalabrutinib Tablet and Protonpump Inhibitor Effect (Members of a Class of Medications That Inhibits in Gastric Acid Production) for Rabeprazole,,Completed,No Results Available,Mantle Cell Lymphoma|COVID-19,Drug: Acalabrutinib Treatment A|Drug: Acalabrutinib Treatment B|Drug: Acalabrutinib Treatment C|Drug: Acalabrutinib Treatment D,Part 1 and 2: Area under plasma concentration-time curve from time zero to infinity (AUCinf)|Part 1 and 2: Area under the plasma concentration time curve from time zero to time of last quantifiable concentration (AUClast)|Part 1 and Part 2: Maximum observed plasma concentration (Cmax)|Part 1 and Part 2: Area under the plasma concentration-time curve from time zero to 24 hours post dose (AUC0-24)|Part 1 and 2: Time to reach maximum observed plasma concentration (tmax)|Part 1 and 2: Half-life associated with terminal slope (Î»z) of a semi-logarithmic concentrationtime curve (t1/2)|Part 1 and 2: Mean residence time of the drug in the systemic circulation from zero to infinity (MRT)|Part 1 and 2: Terminal elimination rate constant (Î»z)|Part 1 and 2: Apparent total body clearance of drug from plasms after extravascular administration (acalabrutinib only (CL/F)|Part 1 and 2: Apparent volume of distribution during the terminal phase after extravascular administration (acalabrutinib only) (Vz/F)|Part 1 and 2: Metabolite to parent ratio based on AUCinf and/or AUClast (M:P[AUC])|Part 1 and 2: Metabolite to parent ratio based on Cmax (M:P[Cmax])|Number of subjects with serious and non-serious adverse events,AstraZeneca|Parexel,All,18 Years to 55 Years Â  (Adult),Phase 1,20,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,D8223C00005,11-Dec-20,12-Oct-20,60,11-Dec-20,25-Sep-20,,29-Dec-20,"Research Site, Berlin, Germany",,https://ClinicalTrials.gov/show/NCT04564040
968,NCT04818697,"Effect of Social Isolation on Physical Activity Level, and Kinesophobia in Heart Rhythm Disorders During Pandemic",,Completed,No Results Available,Heart Rhythm Disorder|Covid19|Social Isolation,,Physical Activity Level|Fear of Movement|Health Literacy|Weekly Average of Steps|Weekly Average of Going Outside|The Comorbid Conditions,Hacettepe University,All,"18 Years and older Â  (Adult, Older Adult)",,105,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,GO 20/633,19-Mar-21,24-Jun-20,268,19-Mar-21,26-Mar-21,,30-Mar-21,"Hacettepe University, Ankara, Turkey",,https://ClinicalTrials.gov/show/NCT04818697
969,NCT04346693,An Open Randomized Study of Dalargin Effectiveness in Patients With Severe and Critical Manifestations of SARS-COVID-19,,Completed,No Results Available,Acute Respiratory Tract Infection|Acute Respiratory Insufficiency|Pneumonia|Septic Shock|Hypoxemia,Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation.|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin intramuscular injection|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin inhalation|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin intramuscular injection combined with Dalargin inhalation,The change of viral load in patients with SARS-COVID-19.|The frequency of development of Acute Respiratory Distress Syndrome (ADRS)|Duration of hospitalization|The frequency of early mortality|The frequency of late mortality|Clinical status at the time of completion of participation in the study,Burnasyan Federal Medical Biophysical Center,All,"18 Years to 80 Years Â  (Adult, Older Adult)",Phase 3,320,Other,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,DAL-05-04-2020,20-Nov-20,8-Apr-20,226,1-Nov-20,15-Apr-20,,27-Jan-21,"Burnasyan Federal Medical Biophysical Center FMBA of Russia, Moscow, Russian Federation",,https://ClinicalTrials.gov/show/NCT04346693
970,NCT04322396,Proactive Protection With Azithromycin and hydroxyChloroquine in Hospitalized Patients With COVID-19,ProPAC-COVID,Completed,No Results Available,Virus Diseases|Infection Viral|Corona Virus Infection,Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Placebo oral tablet,"Number of days alive and discharged from hospital within 14 days|Categorization of hospitalization status|Admitted to intensive care unit, if admitted to ICU then length of stay|Have used Non-invasive ventilation (NIV) during hospitalization|Mortality|Length of hospitalization|Days alive and discharged from hospital|Number of readmissions (all causes)|Number of days using non-invasive ventilation (NIV)|Change in patient's oxygen partial pressure|Change in patient's carbondioxid partial pressure|Level of pH in blood|Time for no oxygen supplement (or regular oxygen supplement ""LTOT"")","Chronic Obstructive Pulmonary Disease Trial Network, Denmark",All,"Child, Adult, Older Adult",Phase 2,117,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",KronLungesyg_COVID_19_protokol,2-Feb-21,6-Apr-20,302,2-Feb-21,26-Mar-20,,15-Feb-21,"Aalborg Sygehus, Aalborg, Denmark|Bispebjerg Hospital, Copenhagen, Denmark|Herlev-Gentofte Hospital, Copenhagen, Denmark|Hvidovre Hospital, Copenhagen, Denmark|NordsjÃ¦llands Hospital, HillerÃ¸d, Denmark|Odense Universitetshospital, Odense, Denmark|Roskilde Sygehus, Roskilde, Denmark|Slagelse Sygehus, Slagelse, Denmark",,https://ClinicalTrials.gov/show/NCT04322396
971,NCT04849546,Staff Physical and Mental Health Assessment in the Aftermath of the First Peak of the Covid-19 Outbreak,SAMAF,Completed,No Results Available,Occupational Stress,,global health|psychosocial factors,"University Hospital, Brest",All,"18 Years to 70 Years Â  (Adult, Older Adult)",,1491,Other,Observational,Observational Model: Ecologic or Community|Time Perspective: Retrospective,SAMAF - 29BRC21.0125,1-Sep-20,1-Jul-20,62,31-Aug-20,19-Apr-21,,19-Apr-21,"Chu Brest, Brest, Bretagne, France",,https://ClinicalTrials.gov/show/NCT04849546
972,NCT04344041,COvid-19 and Vitamin D Supplementation: a Multicenter Randomized Controlled Trial of High Dose Versus Standard Dose Vitamin D3 in High-risk COVID-19 Patients (CoVitTrial),,Completed,No Results Available,Coronavirus,"Drug: cholecalciferol 200,000 IU|Drug: cholecalciferol 50,000 IU","Number of death of any cause, during the 14 days following the inclusion and intervention.|Number of death of any cause, during the 28 days following the inclusion and intervention.|Clinical evolution between day 0 and day 14 based on the change of the WHO Ordinal Scale for Clinical Improvement (OSCI) for COVID-19|Clinical evolution between day 0 and day 28 based on the change of the OSCI for COVID-19|Rate of patients with at least one severe adverse event at day 28, according to the regulations|Number of death of any cause during the 14 days following the inclusion and intervention, in patients with severe hypovitaminosis D (25-OHD <25nmol/L) at baseline|Number of death of any cause during the 28 days following the inclusion and intervention, in patients with severe hypovitaminosis D (25-OHD <25nmol/L) at baseline|Clinical evolution between day 0 and day 14 based on the change of the OSCI for COVID-19, in patients with severe hypovitaminosis D (25-OHD <25nmol/L) at baseline|Clinical evolution between day 0 and day 28 based on the change of the OSCI for COVID-19, in patients with severe hypovitaminosis D (25-OHD<25nmol/L) at baseline|Number of death of any cause during the 14 days following the inclusion and intervention, depending on serum vitamin D concentration achieved at day 7 (25-OHD<75nmol/L or 25-OHDâ‰¥75nmol/L)|Number of death of any cause during the 28 days following the inclusion and intervention, depending on serum vitamin D concentration achieved at day 7 (25-OHD<75nmol/L or 25-OHDâ‰¥75nmol/L)|Clinical evolution between day 0 and day 14 based on the change of the OSCI for COVID-19, depending on serum vitamin D concentration achieved at day 7 (25-OHD<75nmol/L or 25-OHDâ‰¥75nmol/L)|Clinical evolution between day 0 and day 28 based on the change of the OSCI for COVID-19, depending on serum vitamin D concentration achieved at day 7 (25-OHD<75nmol/L or 25-OHDâ‰¥75nmol/L)|Number of death of any cause during the 14 days following the inclusion and intervention, in patients with severe hypovitaminosis D (25-OHD<25nmol/L) at day 0, depending on serum vitamin D concentration achieved at day 7 (<75nmol/L or â‰¥75nmol/L)|Number of death of any cause during the 28 days following the inclusion and intervention, in patients with severe hypovitaminosis D (25-OHD<25nmol/L) at day 0, depending on serum vitamin D concentration achieved at day 7 (<75nmol/L or â‰¥75nmol/L)|Clinical evolution between day 0 and day 14 based on the change of the OSCI for COVID-19, in patients with severe hypovitaminosis D (25-OHD<25nmol/L) at day 0, depending on serum vitamin D concentration achieved at day 7 (<75nmol/L or â‰¥75nmol/L)|Clinical evolution between day 0 and day 28 based on the change of the OSCI for COVID-19, in patients with severe hypovitaminosis D (25-OHD<25nmol/L) at day 0, depending on serum vitamin D concentration achieved at day 7 (<75nmol/L or â‰¥75nmol/L)|Number of death of any cause during the 14 days following the inclusion and intervention, depending on evolution of serum vitamin D concentration between day 0 and day 7|Number of death of any cause during the 28 days following the inclusion and intervention, depending on evolution of serum vitamin D concentration between day 0 and day 7|Clinical evolution between day 0 and day 14 based on the change of the OSCI for COVID-19, depending on evolution of serum vitamin D concentration between day 0 and day 7|Clinical evolution between day 0 and day 28 based on the change of the OSCI for COVID-19, depending on evolution of serum vitamin D concentration between day 0 and day 7|Number of death of any cause during the 14 days following the inclusion and intervention, compared to mortality data in French hospital geriatric units from the current national survey by the French Society of Geriatrics and Gerontology","University Hospital, Angers|Mylan Laboratories",All,65 Years and older Â  (Older Adult),Phase 3,260,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-001602-34,14-Jan-21,15-Apr-20,274,14-Jan-21,14-Apr-20,,30-Apr-21,"CHU Angers, Angers, France|CHU Bordeaux, Bordeaux, France|CH Le Mans, Le Mans, France|CHU Limoges, Limoges, France|CHU Nantes, Nantes, France|CHU Nice, Nice, France|CHU Saint Etienne, Saint Etienne, France|CH Saumur, Saumur, France|CHU Tours, Tours, France",,https://ClinicalTrials.gov/show/NCT04344041
973,NCT04747132,Effectiveness of a Telegeriatric Intervention in Older Adults During the Covid-19 Contingency,,Completed,No Results Available,Effectiveness,Other: Telegeriatric intervention,Visual analog scale of the European quality of life questionnaire|Physical performance.|Depressive symptoms|Symptoms of anxiety.|Body composition|Anthropometric measures|Dietary intake,"Universidad Iberoamericana A.C., Mexico",All,"60 Years and older Â  (Adult, Older Adult)",Not Applicable,110,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Health Services Research,SALUD-2021-Telegeria,16-Nov-20,20-Jul-20,119,20-Oct-20,10-Feb-21,,10-Feb-21,"Universidad Iberoamericana, Ciudad de Mexico, Ciudad De MÃ©xico, Mexico",,https://ClinicalTrials.gov/show/NCT04747132
974,NCT04459533,Sparing in Neuromuscular Blockade in COVID 19 ICU,TOF-COVID,Completed,No Results Available,Neuromuscular Blockade|Human Characteristics|Complication of Medical Care|Intensive Care Unit Acquired Weakness,Device: TOF protocol,NMB agents consumption,Hospices Civils de Lyon,All,"18 Years and older Â  (Adult, Older Adult)",,250,Other,Observational,Observational Model: Case-Control|Time Perspective: Retrospective,2020_TOF-COVID,1-Jun-20,1-Jun-20,0,1-Jun-20,7-Jul-20,,7-Jul-20,"Department of Anesthesiology and Intensive Care Medicine, HÃ´pital de la Croix Rousse, Hospices Civils de Lyon, Lyon, France",,https://ClinicalTrials.gov/show/NCT04459533
975,NCT04542954,Optimized Management of Covid-19 Positive Kidney Transplant Recipients: Single Center Experience From the Middle East,OMC-KTR,Completed,No Results Available,"Covid19|Kidney Transplant Infection|Risk Factor, Cardiovascular|Immunosuppression|Outcome, Fatal|Graft Failure",Other: Optimized Management of Covid-19 Positive Kidney Transplant Recipients: Single Center Experience from the Middle East,patient outcome|Kidney graft outcome|risk factors for getting COVID19 infection,"Hamid Al-Essa Organ Transplant Center|Ministry of Health, Kuwait",,"Child, Adult, Older Adult",,104,Other,Observational,Observational Model: Cohort|Time Perspective: Other,2020/1481,31-Aug-20,1-Mar-20,183,31-Aug-20,9-Sep-20,,9-Sep-20,"OTC, MOH , Kuwait, Kuwait, Kuwait",,https://ClinicalTrials.gov/show/NCT04542954
976,NCT04343404,Place of ECMO in the Management of Severe Refractory ARDS Associated With Covid-19,ECMO-COVID-19,Completed,No Results Available,Respiratory Distress Syndrome,,Retrospective description of COVID-19 patients receiving respiratory ECMO-VV supplementation and what happens to them,"University Hospital, Strasbourg, France",All,"18 Years and older Â  (Adult, Older Adult)",,100,Other,Observational,Observational Model: Case-Only|Time Perspective: Retrospective,7772,15-Apr-20,1-Apr-20,14,15-Apr-20,13-Apr-20,,29-Jun-20,"Service de Chirurgie Thoracique Nouvel HÃ´pital Civil HÃ´pitaux Universitaires de Strasbourg, Strasbourg, France",,https://ClinicalTrials.gov/show/NCT04343404
977,NCT04407663,"Outpatient Clinic in Obesity Care During COVID-19 Outbreak: Physically Far, Virtually Near",,Completed,No Results Available,Bariatric Surgery Candidate|Patient Underwent Bariatric Surgery,Other: Telemedicine to remote outpatient visit in bariatric patient,Evaluation of feasibility of telemedicine in outpatient visit in bariatric patients,"University of Campania ""Luigi Vanvitelli""",All,"18 Years and older Â  (Adult, Older Adult)",,138,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,Telemedicine,4-May-20,3-Mar-20,62,4-May-20,29-May-20,,29-May-20,"University of Campania ""Luigi Vanvitelli"", Naples, Italy",,https://ClinicalTrials.gov/show/NCT04407663
978,NCT04405310,Convalescent Plasma of Covid-19 to Treat SARS-COV-2 a Randomized Doble Blind 2 Center Trial,CPC-SARS,Completed,No Results Available,SARS Pneumonia,Biological: Convalescent Plasma of patients with COVID-19|Other: placebo (hartmann plus albumine),Death|Lenth of stay ICU|Days of Mechanical Ventilation|Suplemental Oxigen support|Viral Load by RT-PCR|Inflamatory biomarkers|SOFA (sequencial Organ Failure Assesment),"Grupo Mexicano para el Estudio de la Medicina Intensiva|Hospital General Naval de Alta Especialidad - Escuela Medico Naval|National Institute of Pediatrics, Mexico|Instituto Nacional de Enfermedades Respiratorias",All,"18 Years to 70 Years Â  (Adult, Older Adult)",Phase 2,42,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",DI/20/201/04/19,10-Dec-20,20-May-20,204,20-Nov-20,28-May-20,,21-Dec-20,"Hospital Nava de Alta Especialidad, Mexico City, Mexico|Hospital General de Mexico Dr Eduardo Liceaga, Mexico City, Mexico",,https://ClinicalTrials.gov/show/NCT04405310
979,NCT04519385,Toclizumam Versus Dexamethasone in Severe Covid-19 Cases,,Completed,No Results Available,"Pneumonia, Viral",Drug: Tocilizumab|Drug: Dexamethasone,Proportion of participants with Overall Survival at 14 days|Fio2/Pao2,South Valley University,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,69,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",SouthVU,5-Aug-20,1-Mar-20,157,1-Jul-20,19-Aug-20,,25-Aug-20,"Qena faculty medicine, QinÄ, Egypt",,https://ClinicalTrials.gov/show/NCT04519385
980,NCT04400279,The COVID-19 Pandemic and Exercise Study,COPE,Completed,No Results Available,Depressive Symptomatology|Psychological Distress|Health Behavior,Behavioral: Yoga group|Behavioral: High Intensity Interval Training group|Behavioral: Combination,"Changes in depressive symptomology over the course of the exercise intervention|Changes in psychological stress as measured by the SCSQ over the course of the exercise intervention.|Changes in psychological distress as measured by the K10 over the course of the exercise intervention.|Changes in flourishing over the course of the exercise intervention|Changes in resilience over the course of the exercise intervention|Changes in life satisfaction over the course of the exercise intervention|Changes in weekly strain as a result of health problems, financial/work issues, and relationship trouble using the Chronic Burden Scale over the course of the exercise intervention.|Changes in general affect over the course of the exercise intervention|Changes in leisure time physical activity over the course of the exercise intervention|Changes in physical health symptomology over the course of the exercise intervention|Changes in alcohol habits over the course of the exercise intervention|Tracking the amount of exercise variety participants feel they engage in",University of British Columbia,All,18 Years to 64 Years Â  (Adult),Not Applicable,334,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention",H20-01497,28-Nov-20,1-Jun-20,180,28-Nov-20,22-May-20,,11-Jan-21,"University of British Columbia, Vancouver, British Columbia, Canada",,https://ClinicalTrials.gov/show/NCT04400279
981,NCT04437342,Postpartum Depression in the Covid-19 Pandemic and the Impact of Anaesthesia,,Completed,No Results Available,Postpartum Depression|Psychological Stress|Maternal Distress,Other: PHQ-9 (Patient Health Questionnaire) Depression Scale|Other: GAD-7 (General Anxiety Disorder) scale|Other: 38 questions questionnaire|Other: EPDS (Edinburgh Postnatal Depression Scale),"Correlation between the Covid-19 pandemic and postpartum depression with EPDS scale (Edinburgh postnatal depression scale)|Correlation between the Covid-19 pandemic, postpartum depression and type of anaesthesia (general, epidural, spinal, combined, epidural analgesia for vaginal delivery)|Correlation between the Covid-19 pandemic, postpartum depression and postpartum pain","General and Maternity Hospital of Athens Elena Venizelou|National and Kapodistrian University of Athens|Alexandra Hospital, Athens, Greece|University of Ioannina|Larissa University Hospital",Female,"18 Years and older Â  (Adult, Older Adult)",,330,Other,Observational,Observational Model: Other|Time Perspective: Prospective,Covid-19 Postpartum depression,27-Oct-20,30-Jun-20,119,30-Aug-20,18-Jun-20,,6-Jan-21,"""Elena Venizelou"" General and Maternity Hospital of Athens, Athens, Attica, Greece|Aretaieio University Hospital, Athens, Attica, Greece|Alexandra Genaral Hospital Athens, Athens, Greece|University of Ioannina Health Science, Ioannina, Greece|University of Ioannina, Medical School, Ioannina, Greece|University of Thessaly Medical School, Larisa, Greece",,https://ClinicalTrials.gov/show/NCT04437342
982,NCT04368208,Impact of Giving Birth During the Covid 19 Pandemia on Postnatal Women's Depression,DEPRECOVID,Completed,No Results Available,Postnatal Depression,Other: Assessment of postnatal depression using the the Edinburgh questionnaire between 4 and 6 weeks after delivery,Report postnatal depression between 4 of 6 weeks during the covid 19 pandemia|Report factors associated with postnatal depression between 4 of 6 weeks during the covid 19 pandemia|Describe the experience and the satisfaction about delivery during the covid 19 pandemia,Poitiers University Hospital,Female,18 Years to 50 Years Â  (Adult),,501,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020-A01065-34,27-Nov-20,29-Apr-20,212,21-Oct-20,29-Apr-20,,26-Jan-21,"Bertrand GACHON, Poitiers, France",,https://ClinicalTrials.gov/show/NCT04368208
983,NCT04368026,SARS-CoV-2 (COVID-19) and Surgery,,Completed,No Results Available,"Surgical Procedure, Unspecified",Other: No intervention (survey study for medical doctors).,Descriptive data on perceptions of current status of surgical wards during the pandemic and impact of the pandemic on conducting surgery.,Jagiellonian University,All,"25 Years and older Â  (Adult, Older Adult)",,70,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,1072.6120.103.2020,1-Dec-20,30-Mar-20,246,1-Dec-20,29-Apr-20,,10-Feb-21,"2nd Department of General Surgery, Jagiellonian University Medical College, Cracovia, MaÅ‚opolska, Poland",,https://ClinicalTrials.gov/show/NCT04368026
984,NCT04423315,Thrombosis Risk Assessment and Clinical Presentation of Covid-19 Pneumonia,Covid-19,Completed,No Results Available,Corona Virus Infection|Thromboembolic Disease,,length of hospital stay,Nisantasi University,All,"18 Years to 99 Years Â  (Adult, Older Adult)",,70,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,20200504443,20-Jul-20,8-Jun-20,42,15-Jul-20,9-Jun-20,,23-Sep-20,"Vital Hospital, Bahcelievler, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04423315
985,NCT04517422,Efficacy of L. Plantarum and P. Acidilactici in Adults With SARS-CoV-2 and COVID-19,,Completed,No Results Available,SARS-CoV Infection,Dietary Supplement: Probiotics|Other: Placebo,"Severity progression of COVID-19|Stay at ICU|Mortality ratio|Viral load|Lung abnormalities|Levels of immunoglobulins|Gastrointestinal manifestations, where 0 means good health status and 5 worse status|Fecal microbiome|Adverse events|Change on Serum Biomarkers|Duration of Individual Symptoms","AB Biotics, SA|Innovacion y Desarrollo de Estrategias en Salud|Hospital General Dr. Manuel Gea GonzÃ¡lez|Hospital Angeles del Pedregal",All,18 Years to 60 Years Â  (Adult),Not Applicable,300,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other",ABB-COVID19,2-Feb-21,19-Aug-20,167,2-Feb-21,18-Aug-20,,6-May-21,"Hospital General Dr. Manuel Gea Gonzalez, Mexico city, Mexico",,https://ClinicalTrials.gov/show/NCT04517422
986,NCT04334434,Telerehabilitation in Individuals Over 65 Years of Age Having Social Isolation Due to Coronavirus (Covid-19),,Completed,No Results Available,Telerehabilitation,Other: Telerehabilitation,Physical Activity Scale for the Elderly|Nottingham Health Profile|Loneliness Scale for the Elderly,"Kubra Koce, MSc PT|Istanbul University-Cerrahpasa",All,65 Years and older Â  (Older Adult),Not Applicable,30,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention,2,15-Dec-20,30-Jul-20,138,15-Sep-20,6-Apr-20,,3-Feb-21,"Istanbul university Cerrahpasa, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04334434
987,NCT04430062,Short-term Outcome of Covid-19 Surgical Patients: Case-series of a High-risk Area Community Hospital,,Completed,No Results Available,General Surgery|Disease Outbreaks,Procedure: Surgical procedures performed under general anesthesia,Mortality,Azienda Socio Sanitaria Territoriale di Lodi,All,"Child, Adult, Older Adult",,14,Other,Observational,Observational Model: Case-Only|Time Perspective: Retrospective,Covid19nr1,30-May-20,1-May-20,29,20-May-20,12-Jun-20,,16-Jun-20,"Ospedale di Lodi - ASST Lodi, Lodi, Lombardia, Italy",,https://ClinicalTrials.gov/show/NCT04430062
988,NCT04402905,"Observational Study in Diagnosed Patients COVID-19, Supported on an Outpatient Basis. (COVID-PSL)",COVID-PSL,Completed,No Results Available,Coronavirus Infection,,COVID-PSL Cohort,Centre de Recherches et d'Etude sur la Pathologie Tropicale et le Sida,All,"18 Years and older Â  (Adult, Older Adult)",,450,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,CREPATS 011,15-Aug-20,15-Jun-20,61,15-Jul-20,27-May-20,,3-Feb-21,"Yasmine Dudoit, Paris, France",,https://ClinicalTrials.gov/show/NCT04402905
989,NCT04685681,The Get Outside Study,GO,Completed,No Results Available,Covid19|Risk Reduction|Stress|Sleep,Behavioral: Hiking challenge|Other: Activity list,Frequency of lower-risk activities|Frequency of higher-risk activities|Frequency of social activities|Frequency of physical activities|Frequency of hiking/nature walks|Frequency of restaurant dining|Stress|Sleep,State University of New York at Buffalo,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,53,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,STUDY00005101,6-Apr-21,7-Jan-21,89,6-Apr-21,28-Dec-20,,4-May-21,"State University of New York at Buffalo, Buffalo, New York, United States",,https://ClinicalTrials.gov/show/NCT04685681
990,NCT04479280,Evaluation of Coagulopathy in Critically Ill COVID-19 Patients.,,Completed,No Results Available,Coagulation Disorder,"Device: Sonclot Coagulation and platelet function Analyzer SCP1, Sienco, USA",clot rate formation,Assiut University,All,"Child, Adult, Older Adult",,70,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,17300446,16-Aug-20,20-Jul-20,27,16-Aug-20,21-Jul-20,,9-Sep-20,"Assiut university, Assiut, Egypt",,https://ClinicalTrials.gov/show/NCT04479280
991,NCT04276688,"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination for nCoV Treatment",,Completed,No Results Available,Novel Coronavirus Infection,Drug: Lopinavir/ritonavir|Drug: Ribavirin|Drug: Interferon Beta-1B,Time to negative NPS|Time to negative saliva|Time to clinical improvement|Hospitalisation|Mortality|Immune reaction|Adverse events|Time to negative all clinical specimens,"The University of Hong Kong|Hospital Authority, Hong Kong",All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,127,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,UW-20-074,31-Mar-20,10-Feb-20,50,30-Mar-20,19-Feb-20,,15-Apr-20,"University of Hong Kong, Queen Mary Hospital, Hong Kong, Hong Kong",,https://ClinicalTrials.gov/show/NCT04276688
992,NCT04412551,Lung Ultrasound for Assessment of Patients With Moderate to Severe Covid-19,,Completed,No Results Available,Corona Virus Infection|Virus Diseases|Coronaviridae Infections,,Identification of requirement of mechanical ventilation|Prediction of requirement of mechanical ventilation|Association of LUS to clinical parameters|Description of findings on LUS,"Dalarna County Council, Sweden",All,"18 Years to 80 Years Â  (Adult, Older Adult)",,72,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,LUS-Covid001,31-Dec-20,20-May-20,225,31-Dec-20,2-Jun-20,,18-May-21,"Falun Hospital, Falun, Sweden",,https://ClinicalTrials.gov/show/NCT04412551
993,NCT04345549,Ayurveda Self-Management for Flu Like Symptoms During the Covid-19 Outbreak,,Completed,No Results Available,Flu Like Symptom|Flu Like Illness,Other: Individualised Ayurveda,Time to achieve afebrile|Severity of influenza symptom score,Aarogyam UK,All,18 Years to 60 Years Â  (Adult),Not Applicable,18,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,AU08,30-Mar-20,26-Feb-20,33,30-Mar-20,14-Apr-20,,14-Apr-20,"Aarogyam, Leicester, United Kingdom",,https://ClinicalTrials.gov/show/NCT04345549
